,0,1,2,3,4,5,6,7,8,9,10,11
0,95,Saving Mr. Banks,2013,13+,7.5,79%,1,0,0,1,John Lee Hancock,125.0
1,103,Amy,2015,18+,7.8,95%,1,0,1,1,,60.0
2,122,Bolt,2008,7+,6.8,89%,1,0,0,1,"Byron Howard,Chris Williams",96.0
3,125,The Princess and the Frog,2009,all,7.1,85%,1,0,0,1,"Ron Clements,John Musker",97.0
4,150,Miracle,2004,7+,7.5,81%,1,0,0,1,Gavin O'Connor,135.0
5,482,White Fang,2018,7+,6.9,88%,1,0,0,1,Randal Kleiser,107.0
6,724,Chicken Little,2005,all,5.7,37%,1,0,0,1,Mark Dindal,81.0
7,1647,Diana: In Her Own Words,2017,,7.9,,1,0,0,1,"Tom Jennings,David Tillman",112.0
8,1761,The Little Mermaid,2018,7+,4.2,20%,1,0,0,1,"Ron Clements,John Musker",83.0
9,1776,Zapped,2014,all,5.1,,1,1,0,1,Peter DeLuise,102.0
10,3580,Free Solo,2018,13+,8.2,97%,0,1,0,1,"Jimmy Chin,Elizabeth Chai Vasarhelyi",100.0
11,3679,Jane,2017,7+,7.8,98%,0,1,0,1,Julian Jarrold,120.0
12,3774,The Hunchback of Notre Dame,1923,,7.3,91%,0,1,0,1,"Gary Trousdale,Kirk Wise",91.0
13,3854,Teen Spirit,2019,13+,6.1,71%,0,1,0,1,Max Minghella,93.0
14,3960,The Kid,2019,18+,5.9,45%,0,1,1,1,Vincent D'Onofrio,100.0
15,4313,Inside Out,2011,13+,4.5,25%,0,1,1,1,"Pete Docter,Ronnie Del Carmen",95.0
16,4438,The Avengers,2012,13+,8.0,92%,0,0,1,1,Joss Whedon,143.0
17,4454,Thor,2011,13+,7.0,77%,0,0,1,1,Kenneth Branagh,115.0
18,4455,Captain America: The First Avenger,2011,13+,6.9,80%,0,0,1,1,Joe Johnston,124.0
19,4462,Iron Man 2,2010,13+,7.0,73%,0,0,1,1,Jon Favreau,124.0
20,5164,Robin Hood,1922,7+,7.2,100%,0,0,1,1,Ridley Scott,140.0
21,5398,The Three Musketeers,1921,,7.0,100%,0,0,1,1,Paul W.S. Anderson,110.0
22,5401,Empire of Dreams: The Story of the Star Wars Trilogy,2004,,8.3,,0,0,1,1,"Edith Becker,Kevin Burns",151.0
23,6492,Cinderella,1965,all,7.8,,0,0,1,1,Kenneth Branagh,105.0
24,6855,Starstruck,1982,7+,7.0,,0,0,1,1,Michael Grossman,90.0
25,6960,Elephant,1989,,7.1,,0,0,1,1,Gus Van Sant,81.0
26,8572,Noelle,2007,7+,5.9,57%,0,0,1,1,Marc Lawrence,100.0
27,9328,The Prince and the Pauper,2000,7+,6.5,,0,0,1,1,Don Chaffey,93.0
28,9802,"20,000 Leagues Under the Sea",1997,,5.0,,0,0,1,1,Richard Fleischer,127.0
29,10102,Bears,2001,,7.3,,0,0,1,1,"Aaron Blaise,Robert Walker",85.0
30,11538,The Swap,1979,18+,3.4,,0,0,1,1,Jay Karas,100.0
31,12717,Sleeping Beauty,2014,13+,2.7,,0,0,1,1,Julia Leigh,101.0
32,16212,Star Wars: A New Hope,1977,7+,8.6,92%,0,0,0,1,George Lucas,121.0
33,16213,Star Wars: The Empire Strikes Back,1980,7+,8.7,94%,0,0,0,1,Irvin Kershner,124.0
34,16214,The Lion King,1994,all,8.5,93%,0,0,0,1,Jon Favreau,118.0
35,16215,Toy Story,1995,all,8.3,100%,0,0,0,1,John Lasseter,81.0
36,16216,Avengers: Endgame,2019,13+,8.4,93%,0,0,0,1,"Anthony Russo,Joe Russo",181.0
37,16217,WALL·E,2008,all,8.4,95%,0,0,0,1,Andrew Stanton,98.0
38,16218,Up,2009,7+,8.2,98%,0,0,0,1,"Pete Docter,Bob Peterson",96.0
39,16219,Guardians of the Galaxy,2014,13+,8.0,91%,0,0,0,1,James Gunn,121.0
40,16220,Finding Nemo,2003,all,8.1,99%,0,0,0,1,"Andrew Stanton,Lee Unkrich",100.0
41,16221,Coco,2017,7+,8.4,97%,0,0,0,1,"Lee Unkrich,Adrian Molina",105.0
42,16222,Toy Story 3,2010,all,8.3,98%,0,0,0,1,Lee Unkrich,103.0
43,16223,"Monsters, Inc.",2001,all,8.0,96%,0,0,0,1,"Pete Docter,David Silverman,Lee Unkrich",92.0
44,16224,Star Wars: Return of the Jedi,1983,7+,8.3,82%,0,0,0,1,Richard Marquand,131.0
45,16225,Zootopia,2016,7+,8.0,98%,0,0,0,1,"Byron Howard,Rich Moore,Jared Bush",108.0
46,16226,Star Wars: The Force Awakens,2015,13+,7.9,93%,0,0,0,1,J.J. Abrams,138.0
