,0,1,2,3,4,5,6,7,8,9,10,11
0,67,Blackfish,2013,13+,8.1,98%,1,1,0,0,Gabriela Cowperthwaite,83.0
1,97,Jiro Dreams of Sushi,2011,7+,7.9,99%,1,1,0,0,David Gelb,81.0
2,146,The Patriot,2000,18+,7.2,61%,1,1,0,0,Roland Emmerich,165.0
3,148,The Square,2013,,8.1,100%,1,1,1,0,Ruben Östlund,151.0
4,214,Hitch,2005,13+,6.6,68%,1,1,0,0,Andy Tennant,118.0
5,285,Hey Arnold! The Jungle Movie,2017,7+,7.6,100%,1,1,0,0,"Raymie Muzquiz,Stu Livingston",81.0
6,340,The Interview,2014,18+,6.5,52%,1,1,1,0,"Evan Goldberg,Seth Rogen",112.0
7,497,Blame!,2017,13+,6.7,82%,1,1,1,0,Hiroyuki Seshita,106.0
8,610,Evolution,2001,13+,6.1,43%,1,1,1,0,Ivan Reitman,101.0
9,894,The Oath,2016,,6.4,75%,1,1,0,0,,60.0
10,897,Little Monsters,1989,7+,6.1,50%,1,1,0,0,Abe Forsythe,93.0
11,939,Lost in London,2017,,6.2,75%,1,1,0,0,Woody Harrelson,103.0
12,1035,Gemini,2018,18+,5.4,71%,1,1,0,0,David Cronenberg,116.0
13,1133,No Game No Life: Zero,2017,13+,7.5,,1,1,1,0,Atsuko Ishizuka,110.0
14,1301,Major League II,1994,7+,5.6,5%,1,1,0,0,David S. Ward,105.0
15,1325,A Second Chance,2015,,7.1,,1,1,0,0,Clay Glen,90.0
16,1390,The Cat in the Hat,2003,7+,3.9,9%,1,1,0,0,Bo Welch,82.0
17,1663,Big Time Movie,2012,all,6.5,,1,1,0,0,Savage Steve Holland,68.0
18,1776,Zapped,2014,all,5.1,,1,1,0,1,Peter DeLuise,102.0
19,2017,Mother,2016,,5.6,,1,1,1,0,Darren Aronofsky,121.0
20,2347,Escape from Mr. Lemoncello's Library,2017,all,5.3,,1,1,0,0,Scott McAboy,69.0
21,2874,A Fairly Odd Summer,2014,all,4.0,,1,1,0,0,Savage Steve Holland,68.0
22,3040,LeapFrog: Phonics Farm,2011,,5.5,,1,1,0,0,Ron Myrick,38.0
23,3146,LeapFrog: Numberland,2012,all,5.8,,1,1,0,0,Ron Myrick,36.0
24,3549,Oddbods: Party Monsters,2018,,,,1,1,0,0,,
25,3560,The Dark Knight,2008,13+,9.0,94%,0,1,0,0,Christopher Nolan,152.0
26,3561,GoodFellas,1990,18+,8.7,96%,0,1,0,0,Martin Scorsese,146.0
27,3562,Parasite,2019,18+,8.6,99%,0,1,1,0,Bong Joon Ho,132.0
28,3563,Good Will Hunting,1997,18+,8.3,97%,0,1,0,0,Gus Van Sant,126.0
29,3564,The Green Mile,1999,18+,8.6,78%,0,1,0,0,Frank Darabont,189.0
30,3565,Batman Begins,2005,13+,8.2,84%,0,1,0,0,Christopher Nolan,140.0
31,3566,Grave of the Fireflies,1988,7+,8.5,98%,0,1,0,0,Isao Takahata,89.0
32,3567,Kill Bill: Vol. 1,2003,18+,8.1,85%,0,1,0,0,Quentin Tarantino,111.0
33,3568,Zombieland,2009,18+,7.6,90%,0,1,1,0,Ruben Fleischer,88.0
34,3569,A Quiet Place,2018,13+,7.5,95%,0,1,1,0,John Krasinski,90.0
35,3570,Kill Bill: Vol. 2,2004,18+,8.0,84%,0,1,0,0,Quentin Tarantino,137.0
36,3571,Let the Right One In,2008,18+,7.9,98%,0,1,0,0,Tomas Alfredson,114.0
37,3572,True Grit,2010,13+,7.6,96%,0,1,1,0,"Ethan Coen,Joel Coen",110.0
38,3573,Akira,1988,18+,8.0,90%,0,1,0,0,Katsuhiro Ôtomo,124.0
39,3574,50/50,2011,18+,7.6,93%,0,1,0,0,Jonathan Levine,100.0
40,3575,Hunt for the Wilderpeople,2016,13+,7.9,96%,0,1,0,0,Taika Waititi,101.0
