,0,1,2,3,4,5,6,7,8,9,10,11
0,0,Inception,2010,13+,8.8,87%,1,0,0,0,Christopher Nolan,148.0
1,1,The Matrix,1999,18+,8.7,87%,1,0,0,0,"Lana Wachowski,Lilly Wachowski",136.0
2,2,Avengers: Infinity War,2018,13+,8.5,84%,1,0,0,0,"Anthony Russo,Joe Russo",149.0
3,3,Back to the Future,1985,7+,8.5,96%,1,0,0,0,Robert Zemeckis,116.0
4,4,"The Good, the Bad and the Ugly",1966,18+,8.8,97%,1,0,1,0,Sergio Leone,161.0
5,5,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%,1,0,0,0,"Bob Persichetti,Peter Ramsey,Rodney Rothman",117.0
6,6,The Pianist,2002,18+,8.5,95%,1,0,1,0,Roman Polanski,150.0
7,7,Django Unchained,2012,18+,8.4,87%,1,0,0,0,Quentin Tarantino,165.0
8,8,Raiders of the Lost Ark,1981,7+,8.4,95%,1,0,0,0,Steven Spielberg,115.0
9,9,Inglourious Basterds,2009,18+,8.3,89%,1,0,0,0,Quentin Tarantino,153.0
10,10,Taxi Driver,1976,18+,8.3,95%,1,0,0,0,Martin Scorsese,114.0
11,11,3 Idiots,2009,13+,8.4,100%,1,0,1,0,Rajkumar Hirani,170.0
12,12,Pan's Labyrinth,2006,18+,8.2,95%,1,0,0,0,Guillermo del Toro,118.0
13,13,Room,2015,18+,8.1,93%,1,0,0,0,Lenny Abrahamson,118.0
14,14,Monty Python and the Holy Grail,1975,7+,8.2,97%,1,0,0,0,"Terry Gilliam,Terry Jones",91.0
15,15,Once Upon a Time in the West,1968,13+,8.5,95%,1,0,1,0,Sergio Leone,165.0
16,16,Indiana Jones and the Last Crusade,1989,13+,8.2,88%,1,0,0,0,Steven Spielberg,127.0
17,17,Groundhog Day,1993,7+,8.0,96%,1,0,0,0,Harold Ramis,101.0
18,18,The King's Speech,2010,18+,8.0,95%,1,0,0,0,Tom Hooper,118.0
19,19,Her,2013,18+,8.0,95%,1,0,0,0,Spike Jonze,126.0
20,20,There Will Be Blood,2007,18+,8.2,91%,1,0,0,0,Paul Thomas Anderson,158.0
21,21,The Social Network,2010,13+,7.7,96%,1,0,0,0,David Fincher,120.0
22,22,Dallas Buyers Club,2013,18+,8.0,93%,1,0,0,0,Jean-Marc Vallée,117.0
23,23,The Perks of Being a Wallflower,2012,13+,8.0,86%,1,0,0,0,Stephen Chbosky,103.0
24,24,Life of Brian,1979,18+,8.1,95%,1,0,0,0,Terry Jones,94.0
25,25,Ex Machina,2015,18+,7.7,92%,1,0,0,0,Alex Garland,108.0
26,26,Silver Linings Playbook,2012,18+,7.7,92%,1,0,0,0,David O. Russell,122.0
27,27,District 9,2009,18+,7.9,90%,1,0,0,0,Neill Blomkamp,112.0
28,28,The Irishman,2019,18+,7.9,96%,1,0,0,0,Martin Scorsese,209.0
29,29,Moon,2009,18+,7.9,90%,1,0,0,0,Duncan Jones,97.0
30,30,Marriage Story,2019,18+,8.0,95%,1,0,0,0,Noah Baumbach,137.0
31,31,Drive,2011,18+,7.8,92%,1,0,1,0,Nicolas Winding Refn,100.0
32,32,Train to Busan,2016,,7.5,94%,1,0,1,0,Sang-ho Yeon,118.0
33,33,Incredibles 2,2018,7+,7.6,94%,1,0,0,0,Brad Bird,118.0
34,34,Dangal,2016,7+,8.4,88%,1,0,0,0,Nitesh Tiwari,161.0
35,35,Klaus,2019,7+,8.2,94%,1,0,0,0,"Sergio Pablos,Carlos Martínez López",96.0
36,36,Minority Report,2002,13+,7.6,90%,1,0,0,0,Steven Spielberg,145.0
37,37,Mystic River,2003,18+,7.9,88%,1,0,0,0,Clint Eastwood,138.0
38,38,Like Stars on Earth,2007,7+,8.4,91%,1,0,0,0,"Aamir Khan,Amole Gupte",165.0
39,39,Ferris Bueller's Day Off,1986,13+,7.8,80%,1,0,0,0,John Hughes,103.0
40,40,Despicable Me,2010,7+,7.6,81%,1,0,0,0,"Pierre Coffin,Chris Renaud",95.0
41,41,Hell or High Water,2016,18+,7.6,97%,1,0,0,0,David Mackenzie,102.0
