,0,1,2,3,4,5,6,7,8,9,10,11
0,4,"The Good, the Bad and the Ugly",1966,18+,8.8,97%,1,0,1,0,Sergio Leone,161.0
1,6,The Pianist,2002,18+,8.5,95%,1,0,1,0,Roman Polanski,150.0
2,11,3 Idiots,2009,13+,8.4,100%,1,0,1,0,Rajkumar Hirani,170.0
3,15,Once Upon a Time in the West,1968,13+,8.5,95%,1,0,1,0,Sergio Leone,165.0
4,31,Drive,2011,18+,7.8,92%,1,0,1,0,Nicolas Winding Refn,100.0
5,32,Train to Busan,2016,,7.5,94%,1,0,1,0,Sang-ho Yeon,118.0
6,55,What's Eating Gilbert Grape,1993,13+,7.8,90%,1,0,1,0,Lasse Hallström,118.0
7,103,Amy,2015,18+,7.8,95%,1,0,1,1,,60.0
8,130,The Squid and the Whale,2005,18+,7.3,92%,1,0,1,0,Noah Baumbach,81.0
9,142,Starred Up,2013,18+,7.4,99%,1,0,1,0,David Mackenzie,106.0
10,148,The Square,2013,,8.1,100%,1,1,1,0,Ruben Östlund,151.0
11,165,Freedom Writers,2007,13+,7.5,70%,1,0,1,0,Richard LaGravenese,123.0
12,170,The Boy Who Harnessed the Wind,2019,7+,7.6,87%,1,0,1,0,Chiwetel Ejiofor,113.0
13,182,The Rainmaker,1997,13+,7.2,83%,1,0,1,0,Francis Ford Coppola,135.0
14,188,The Invitation,2015,,6.6,88%,1,0,1,0,Karyn Kusama,100.0
15,193,The Fundamentals of Caring,2016,18+,7.3,77%,1,0,1,0,Rob Burnett,97.0
16,201,The Ring,2002,13+,7.1,71%,1,0,1,0,Gore Verbinski,115.0
17,204,Trumbo,2015,18+,7.5,74%,1,0,1,0,Jay Roach,124.0
18,212,Patriot Games,1992,18+,6.9,72%,1,0,1,0,Phillip Noyce,117.0
19,217,Mirage,2018,18+,7.4,71%,1,0,1,0,Oriol Paulo,128.0
20,227,Kon-Tiki,2012,13+,7.2,81%,1,0,1,0,"Joachim Rønning,Espen Sandberg",118.0
21,287,The Score,2001,18+,6.8,73%,1,0,1,0,Frank Oz,124.0
22,288,Hamburger Hill,1987,18+,6.7,100%,1,0,1,0,John Irvin,110.0
23,305,Blue Jay,2016,,7.3,90%,1,0,1,0,Alex Lehmann,80.0
24,311,Child's Play,1988,18+,6.6,71%,1,0,1,0,Lars Klevberg,90.0
25,322,The Christmas Chronicles,2018,7+,7.1,64%,1,0,1,0,Clay Kaytis,104.0
26,327,Remember,2015,18+,7.5,70%,1,0,1,0,Atom Egoyan,94.0
27,340,The Interview,2014,18+,6.5,52%,1,1,1,0,"Evan Goldberg,Seth Rogen",112.0
28,343,Black Snake Moan,2006,18+,6.9,66%,1,0,1,0,Craig Brewer,116.0
29,345,Cargo,2017,,6.3,85%,1,0,1,0,"Ben Howling,Yolanda Ramke",105.0
30,368,Girl,2018,18+,7.2,84%,1,0,1,0,Lukas Dhont,105.0
31,376,"Love, Rosie",2014,18+,7.2,33%,1,0,1,0,Christian Ditter,102.0
32,384,The Babysitter,2017,18+,6.3,71%,1,0,1,0,McG,85.0
33,388,The Duchess,2008,13+,6.9,62%,1,0,1,0,Saul Dibb,110.0
34,395,Whisky,2004,,7.1,100%,1,0,1,0,"Juan Pablo Rebella,Pablo Stoll",99.0
35,401,She's Out of My League,2010,18+,6.4,58%,1,0,1,0,Jim Field Smith,104.0
36,405,Ittefaq,2017,7+,7.2,89%,1,0,1,0,Abhay Chopra,105.0
37,418,Retribution,2015,,6.6,100%,1,0,1,0,,60.0
38,447,Young Adult,2011,18+,6.2,80%,1,0,1,0,Jason Reitman,94.0
39,471,One Day,2011,13+,7.0,36%,1,0,1,0,Lone Scherfig,107.0
40,484,Elena,2013,,7.6,85%,1,0,1,0,Andrey Zvyagintsev,109.0
41,489,Hot Rod,2007,13+,6.7,39%,1,0,1,0,Akiva Schaffer,88.0
42,495,Bandits,2001,13+,6.5,64%,1,0,1,0,Barry Levinson,123.0
43,497,Blame!,2017,13+,6.7,82%,1,1,1,0,Hiroyuki Seshita,106.0
44,535,World Trade Center,2006,13+,5.9,67%,1,0,1,0,Oliver Stone,129.0
45,536,I Am Kalam,2010,all,8.0,80%,1,0,1,0,Nila Madhab Panda,88.0
46,551,The First Wives Club,1996,7+,6.4,50%,1,0,1,0,Hugh Wilson,103.0
47,576,The Angel,2018,18+,6.6,75%,1,0,1,0,Ariel Vromen,114.0
48,585,Breath,2017,18+,6.7,80%,1,0,1,0,Simon Baker,115.0
49,591,Eye for an Eye,2019,,6.6,88%,1,0,1,0,"Francesco Cinquemani,George Gallo",98.0
50,610,Evolution,2001,13+,6.1,43%,1,1,1,0,Ivan Reitman,101.0
51,629,After,2019,13+,5.4,17%,1,0,1,0,Jenny Gage,105.0
52,645,Kiss the Girls,1997,18+,6.6,29%,1,0,1,0,Gary Fleder,115.0
53,652,(T)ERROR,2015,,6.6,91%,1,0,1,0,"Lyric R. Cabral,David Felix Sutcliffe",84.0
54,663,Andaz Apna Apna,1994,7+,8.2,,1,0,1,0,Rajkumar Santoshi,160.0
55,673,Let There Be Light,1946,,7.4,83%,1,0,1,0,Karen Moncrieff,91.0
56,679,From Paris with Love,2010,18+,6.5,38%,1,0,1,0,Pierre Morel,92.0
57,696,The Monster,2016,18+,5.4,81%,1,0,1,0,Bryan Bertino,91.0
58,701,Mirror Mirror,2012,7+,5.6,50%,1,0,1,0,Tarsem Singh,106.0
59,704,Brooklyn's Finest,2009,18+,6.7,44%,1,0,1,0,Antoine Fuqua,132.0
60,723,Ten Years,2015,,6.7,100%,1,0,1,0,Jamie Linden,100.0
61,789,Mike Birbiglia: My Girlfriend's Boyfriend,2013,,8.0,100%,1,0,1,0,Seth Barrish,76.0
62,813,Lovesong,2017,,6.3,83%,1,0,1,0,So Yong Kim,84.0
63,816,A Christmas Prince,2017,7+,5.7,73%,1,0,1,0,Alex Zamm,92.0
64,830,The 36th Chamber of Shaolin,1978,18+,7.7,,1,0,1,0,Chia-Liang Liu,116.0
65,837,Chupke Chupke,1975,18+,8.4,,1,0,1,0,Hrishikesh Mukherjee,146.0
66,839,A Night at the Roxbury,1998,13+,6.3,11%,1,0,1,0,John Fortenberry,82.0
67,845,Gol Maal,1979,18+,8.6,,1,0,1,0,Hrishikesh Mukherjee,120.0
68,889,Eli,2019,18+,5.7,48%,1,0,1,0,,53.0
69,890,City of Joy,2016,,7.3,100%,1,0,1,0,Roland Joffé,132.0
70,900,The Core,2003,13+,5.5,40%,1,0,1,0,Jon Amiel,135.0
71,912,Sólo con tu pareja,1992,,6.9,67%,1,0,1,0,Alfonso Cuarón,94.0
72,914,The Debt Collector,2018,,5.7,80%,1,0,1,0,Jesse V. Johnson,95.0
73,945,Kabali,2016,18+,6.2,64%,1,0,1,0,Pa. Ranjith,153.0
74,967,Pari,2018,13+,6.6,45%,1,0,1,0,Prosit Roy,136.0
75,968,Sleepless,2017,18+,5.6,25%,1,0,1,0,Baran bo Odar,95.0
76,970,Detour,2017,18+,6.2,65%,1,0,1,0,Christopher Smith,97.0
77,980,The Bleeding Edge,2018,16+,7.7,100%,1,0,1,0,Kirby Dick,99.0
78,987,Don,2006,13+,7.2,,1,0,1,0,Farhan Akhtar,171.0
79,1009,Toro,2016,13+,5.9,80%,1,0,1,0,Kiké Maíllo,105.0
80,1038,The Student,2016,13+,6.9,87%,1,0,1,0,Steven R. Monroe,90.0
81,1047,God's Not Dead,2014,7+,4.7,13%,1,0,1,0,Harold Cronk,113.0
82,1050,Zero,2018,,5.5,31%,1,0,1,0,Aanand L. Rai,164.0
83,1054,The Outsider,2018,,6.3,15%,1,0,1,0,,60.0
84,1062,Four Sisters And A Wedding,2013,,7.3,,1,0,1,0,Cathy Garcia-Molina,125.0
85,1089,Room on the Broom,2012,all,7.6,,1,0,1,0,"Jan Lachauer,Max Lang",25.0
86,1090,Bill Hicks: Sane Man,1989,18+,8.5,,1,0,1,0,"Kevin Booth,David Johndrow",81.0
87,1105,Amar Akbar Anthony,1977,18+,7.5,,1,0,1,0,Manmohan Desai,184.0
88,1113,Closed Circuit,2013,18+,6.2,43%,1,0,1,0,John Crowley,96.0
89,1115,Namastey London,2007,,7.1,,1,0,1,0,Vipul Amrutlal Shah,128.0
90,1120,It Takes Two,1995,7+,5.9,8%,1,0,1,0,Andy Tennant,101.0
91,1131,Hum Aapke Hain Koun..!,1994,,7.5,,1,0,1,0,,20.0
92,1133,No Game No Life: Zero,2017,13+,7.5,,1,1,1,0,Atsuko Ishizuka,110.0
93,1143,The Do-Over,2016,18+,5.7,9%,1,0,1,0,Steven Brill,108.0
94,1162,The Five Venoms,1978,18+,7.1,,1,0,1,0,Cheh Chang,97.0
95,1169,Bawarchi,1972,,8.0,,1,0,1,0,Hrishikesh Mukherjee,130.0
96,1177,Mute,2018,18+,5.4,20%,1,0,1,0,Duncan Jones,126.0
97,1205,Socha Na Tha,2005,,7.5,,1,0,1,0,Imtiaz Ali,137.0
98,1216,Bhoot,2003,,6.5,67%,1,0,1,0,Ram Gopal Varma,113.0
99,1233,"Yours, Mine & Ours",2005,7+,5.5,6%,1,0,1,0,Raja Gosnell,88.0
100,1234,Iliza Shlesinger: War Paint,2013,,6.7,,1,0,1,0,Jay Chapman,75.0
101,1235,Jeff Dunham: Jeff Dunham's Very Special Christmas Special,2008,13+,7.5,,1,0,1,0,Michael Simon,85.0
102,1269,Imagine That,2009,7+,5.6,41%,1,0,1,0,Karey Kirkpatrick,107.0
103,1270,Ek Hasina Thi,2004,,7.6,,1,0,1,0,Sriram Raghavan,120.0
104,1272,Patrick,2018,16+,5.8,36%,1,0,1,0,Mandie Fletcher,94.0
105,1278,Sleepover,2004,7+,5.3,15%,1,0,1,0,Joe Nussbaum,89.0
106,1284,The Amityville Horror,2005,18+,6.0,,1,0,1,0,Andrew Douglas,90.0
107,1291,Aarakshan,2011,13+,6.2,57%,1,0,1,0,Prakash Jha,164.0
108,1300,Pandora,2016,18+,6.6,,1,0,1,0,,42.0
109,1312,Bill Hicks: Revelations,1993,,8.6,,1,0,1,0,Chris Bould,57.0
110,1320,The Last Summer,2019,16+,5.6,17%,1,0,1,0,William Bindley,109.0
111,1333,Jeff Dunham: Controlled Chaos,2011,,7.5,,1,0,1,0,"Michael Simon,Matthew McNeil",97.0
112,1341,"The Goods: Live Hard, Sell Hard",2009,18+,5.8,27%,1,0,1,0,Neal Brennan,89.0
113,1342,U Turn,2016,18+,7.5,,1,0,1,0,Oliver Stone,125.0
114,1344,The After Party,2018,,5.8,,1,0,1,0,Ian Edelman,120.0
115,1348,Jeff Dunham: Arguing with Myself,2006,13+,8.0,,1,0,1,0,Manny Rodriguez,76.0
116,1357,Guilty,2020,,5.5,,1,0,1,0,Meghna Gulzar,132.0
117,1364,Race,2008,,6.7,,1,0,1,0,Stephen Hopkins,134.0
118,1369,Dream/Killer,2015,,7.4,,1,0,1,0,Andrew Jenks,106.0
119,1379,The Climb,2017,,6.9,,1,0,1,0,Ludovic Bernard,103.0
120,1408,Friend Request,2016,18+,5.3,16%,1,0,1,0,Simon Verhoeven,92.0
121,1412,Blind Date,2015,,6.6,,1,0,1,0,Fouad Mikati,92.0
122,1414,The Duel,2016,13+,5.8,26%,1,0,1,0,Kieran Darcy-Smith,110.0
123,1417,Tom Segura: Completely Normal,2014,,7.8,,1,0,1,0,Jay Chapman,74.0
124,1420,Hangman,2017,18+,5.2,5%,1,0,1,0,Johnny Martin,98.0
125,1423,Lila & Eve,2015,18+,5.8,40%,1,0,1,0,Charles Stone III,94.0
126,1430,The Warning,2018,18+,5.9,56%,1,0,1,0,Daniel Calparsoro,92.0
127,1442,Soul Plane,2004,18+,4.5,18%,1,0,1,0,Jessy Terrero,86.0
128,1458,Untamed Romania,2018,7+,8.7,,1,0,1,0,Tom Barton-Humphreys,92.0
129,1459,Sarkar,2018,,6.8,,1,0,1,0,Ram Gopal Varma,124.0
130,1463,Mujhse Shaadi Karogi,2004,7+,6.7,,1,0,1,0,David Dhawan,163.0
131,1467,Across the Line,2016,,5.1,83%,1,0,1,0,Director X.,87.0
132,1471,Giant,2017,13+,6.7,,1,0,1,0,George Stevens,201.0
133,1487,Namak Halaal,1982,all,7.3,,1,0,1,0,Prakash Mehra,171.0
134,1497,Rainbow Time,2016,,5.9,67%,1,0,1,0,Linas Phillips,91.0
135,1498,Hum Saath Saath Hain,1999,all,6.2,,1,0,1,0,,
136,1508,Playing for Time,1980,,7.4,,1,0,1,0,"Daniel Mann,Joseph Sargent",150.0
137,1514,Delirium,2018,18+,5.7,,1,0,1,0,Dennis Iliadis,96.0
138,1523,The Black Godfather,2019,18+,6.5,100%,1,0,1,0,Reginald Hudlin,118.0
139,1525,Martin Lawrence Live: Runteldat,2002,18+,5.4,39%,1,0,1,0,David Raynr,113.0
140,1529,Solo,2017,,7.1,,1,0,1,0,Ron Howard,135.0
141,1540,Satte Pe Satta,1982,,7.2,,1,0,1,0,Raj N. Sippy,160.0
142,1557,Bhagam Bhag,2006,,6.3,,1,0,1,0,Priyadarshan,157.0
143,1565,审死官,1992,7+,6.9,,1,0,1,0,,
